ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
52972,variation,,"Class N Table-top Autoclave YR03391 // YR03394 - YR03393",1,0,visible,,,,,taxable,parent,1,,,0,0,55,67.5,51,56,0,,,"1753,00",,,,,,,id:52924,,,,,,3,Model,YR03393,,1,,,,
52973,variation,,"Class N Table-top Autoclave YR03391 // YR03394 - YR03394",1,0,visible,,,,,taxable,parent,1,,,0,0,57,76.5,51,56,0,,,"1951,00",,,,,,,id:52924,,,,,,4,Model,YR03394,,1,,,,
52974,variation,,"Class N Benchtop Autoclave YR03395 // YR03400 - YR03398",1,0,visible,,,,,taxable,parent,1,,,0,0,41,,,,0,,,"961,00",,,,,,,id:52925,,,,,,4,Model,YR03398,,1,,,,
52975,variation,,"Class N Benchtop Autoclave YR03395 // YR03400 - YR03399",1,0,visible,,,,,taxable,parent,1,,,0,0,42,,,,0,,,"1060,00",,,,,,,id:52925,,,,,,5,Model,YR03399,,1,,,,
52976,variation,,"Class N Benchtop Autoclave YR03395 // YR03400 - YR03400",1,0,visible,,,,,taxable,parent,1,,,0,0,42.5,,,,0,,,"1159,00",,,,,,,id:52925,,,,,,6,Model,YR03400,,1,,,,
52977,variation,,"Class N Benchtop Autoclave YR03395 // YR03400 - YR03395",1,0,visible,,,,,taxable,parent,1,,,0,0,37,,,,0,,,"832,00",,,,,,,id:52925,,,,,,1,Model,YR03395,,1,,,,
52978,variation,,"Class N Benchtop Autoclave YR03395 // YR03400 - YR03396",1,0,visible,,,,,taxable,parent,1,,,0,0,38,,,,0,,,"931,00",,,,,,,id:52925,,,,,,2,Model,YR03396,,1,,,,
52979,variation,,"Class N Benchtop Autoclave YR03395 // YR03400 - YR03397",1,0,visible,,,,,taxable,parent,1,,,0,0,38.5,,,,0,,,"1060,00",,,,,,,id:52925,,,,,,3,Model,YR03397,,1,,,,
52983,variation,,"Horizontal Cylindrical Pressure Steam Autoclave  YR05635 // YR05639 - YR05636",1,0,visible,,,,,taxable,parent,1,,,0,0,350,156,82,185,0,,,"6318,88",,,,,,,id:52926,,,,,,2,Model,YR05636,,1,,,,
52984,variation,,"Horizontal Cylindrical Pressure Steam Autoclave  YR05635 // YR05639 - YR05637",1,0,visible,,,,,taxable,parent,1,,,0,0,460,160,92,195,0,,,"7049,50",,,,,,,id:52926,,,,,,3,Model,YR05637,,1,,,,
52985,variation,,"Horizontal Cylindrical Pressure Steam Autoclave  YR05635 // YR05639 - YR05638",1,0,visible,,,,,taxable,parent,1,,,0,0,530,170,105,205,0,,,"9360,16",,,,,,,id:52926,,,,,,4,Model,YR05638,,1,,,,
52986,variation,,"Horizontal Cylindrical Pressure Steam Autoclave  YR05635 // YR05639 - YR05639",1,0,visible,,,,,taxable,parent,1,,,0,0,580,185,105,205,0,,,"11583,70",,,,,,,id:52926,,,,,,5,Model,YR05639,,1,,,,
52987,variation,,"Horizontal Cylindrical Pressure Steam Autoclave  YR05635 // YR05639 - YR05635",1,0,visible,,,,,taxable,parent,1,,,0,0,320,156,75,185,0,,,"5639,74",,,,,,,id:52926,,,,,,1,Model,YR05635,,1,,,,
52988,variation,,"Digital Display Horizontal Cylindrical Steam Autoclave  YR05640 // YR05642 - YR05640",1,0,visible,,,,,taxable,parent,1,,,0,0,430,156,85,182,0,,,"6942,58",,,,,,,id:52927,,,,,,1,Model,YR05640,,1,,,,
52989,variation,,"Digital Display Horizontal Cylindrical Steam Autoclave  YR05640 // YR05642 - YR05641",1,0,visible,,,,,taxable,parent,1,,,0,0,440,156,91,188,0,,,"8049,40",,,,,,,id:52927,,,,,,2,Model,YR05641,,1,,,,
52990,variation,,"Digital Display Horizontal Cylindrical Steam Autoclave  YR05640 // YR05642 - YR05642",1,0,visible,,,,,taxable,parent,1,,,0,0,570,168,106,205,0,,,"9520,54",,,,,,,id:52927,,,,,,3,Model,YR05642,,1,,,,
52991,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05644-1",1,0,visible,,,,,taxable,parent,1,,,0,0,440,156,82,182,0,,,"13270,66",,,,,,,id:52928,,,,,,4,Model,YR05644-1,,1,,,,
52995,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05645",1,0,visible,,,,,taxable,parent,1,,,0,0,460,156,91,188,0,,,"12670,72",,,,,,,id:52928,,,,,,5,Model,YR05645,,1,,,,
52996,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05645-1",1,0,visible,,,,,taxable,parent,1,,,0,0,460,156,91,188,0,,,"15369,46",,,,,,,id:52928,,,,,,6,Model,YR05645-1,,1,,,,
52997,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05646",1,0,visible,,,,,taxable,parent,1,,,0,0,580,168,108,205,0,,,"14169,58",,,,,,,id:52928,,,,,,7,Model,YR05646,,1,,,,
52998,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05646-1",1,0,visible,,,,,taxable,parent,1,,,0,0,580,168,108,205,0,,,"16870,30",,,,,,,id:52928,,,,,,8,Model,YR05646-1,,1,,,,
52999,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05643",1,0,visible,,,,,taxable,parent,1,,,0,0,430,156,82,182,0,,,"9069,10",,,,,,,id:52928,,,,,,1,Model,YR05643,,1,,,,
53000,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05643-1",1,0,visible,,,,,taxable,parent,1,,,0,0,430,156,82,182,0,,,"11769,82",,,,,,,id:52928,,,,,,2,Model,YR05643-1,,1,,,,
53001,variation,,"Touch Screen Horizontal Pulsating Vacuum Autoclave YR05643 // YR05646-1 - YR05644",1,0,visible,,,,,taxable,parent,1,,,0,0,440,156,82,182,0,,,"10569,94",,,,,,,id:52928,,,,,,3,Model,YR05644,,1,,,,
53002,variation,,"Pressure Steam Autoclave With Drying  YR05655 // YR05660 - YR05655",1,0,visible,,,,,taxable,parent,1,,,0,0,65,55,54,100,0,,,"1503,52",,,,,,,id:52929,,,,,,1,Model,YR05655,,1,,,,
53003,variation,,"Pressure Steam Autoclave With Drying  YR05655 // YR05660 - YR05656",1,0,visible,,,,,taxable,parent,1,,,0,0,75,57,57,109,0,,,"1758,94",,,,,,,id:52929,,,,,,2,Model,YR05656,,1,,,,
53004,variation,,"Pressure Steam Autoclave With Drying  YR05655 // YR05660 - YR05657",1,0,visible,,,,,taxable,parent,1,,,0,0,90,62,62,118,0,,,"2465,80",,,,,,,id:52929,,,,,,3,Model,YR05657,,1,,,,
53005,variation,,"Pressure Steam Autoclave With Drying  YR05655 // YR05660 - YR05658",1,0,visible,,,,,taxable,parent,1,,,0,0,105,62,62,128,0,,,"2937,04",,,,,,,id:52929,,,,,,4,Model,YR05658,,1,,,,
53006,variation,,"Pressure Steam Autoclave With Drying  YR05655 // YR05660 - YR05659",1,0,visible,,,,,taxable,parent,1,,,0,0,115,66,67,128,0,,,"3604,30",,,,,,,id:52929,,,,,,5,Model,YR05659,,1,,,,
53007,variation,,"Pressure Steam Autoclave With Drying  YR05655 // YR05660 - YR05660",1,0,visible,,,,,taxable,parent,1,,,0,0,125,67,68,131,0,,,"4097,32",,,,,,,id:52929,,,,,,6,Model,YR05660,,1,,,,
53008,variation,,"Horizontal Pulsating Vacuum Autoclave Automatic Vertical Sliding Door YR05647 // YR05650-1 - YR05649",1,0,visible,,,,,taxable,parent,1,,,0,0,950,140,135,195,0,,,"19721,50",,,,,,,id:52930,,,,,,5,Model,YR05649,,1,,,,
53009,variation,,"Horizontal Pulsating Vacuum Autoclave Automatic Vertical Sliding Door YR05647 // YR05650-1 - YR05649-1",1,0,visible,,,,,taxable,parent,1,,,0,0,950,140,135,195,0,,,"22570,72",,,,,,,id:52930,,,,,,6,Model,YR05649-1,,1,,,,
