ID,Name,Description,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
30360,"22 Gallon Explosion-proof Cabinet YR05468 // YR05468-2 - YR05468-2",,Model,YR05468-2,,1
30366,"30 Gallon Explosion-proof Cabinet YR05469 // YR05469-2 - YR05469-1",,Model,YR05469-1,,1
30367,"30 Gallon Explosion-proof Cabinet YR05469 // YR05469-2 - YR05469-2",,Model,YR05469-2,,1
30365,"30 Gallon Explosion-proof Cabinet YR05469 // YR05469-2 - YR05469",,Model,YR05469,,1
30376,"45 Gallon Explosion-proof Cabinet YR05470 // YR05470-2 - YR053400",,Model,YR053400,,1
30377,"45 Gallon Explosion-proof Cabinet YR05470 // YR05470-2 - YR053400-1",,Model,YR053400-1,,1
30378,"45 Gallon Explosion-proof Cabinet YR05470 // YR05470-2 - YR053400-2",,Model,YR053400-2,,1
54580,"60 Gallon Explosion-proof Cabinet YR05471 // YR05471-2 - YR05471",,Model,YR05471,,1
54581,"60 Gallon Explosion-proof Cabinet YR05471 // YR05471-2 - YR05471-1",,Model,YR05471-1,,1
54582,"60 Gallon Explosion-proof Cabinet YR05471 // YR05471-2 - YR05471-2",,Model,YR05471-2,,1
30411,"90 Gallon Explosion-proof Cabinet YR05472 // YR05472-2 - YR05472-2",,Model,YR05472-2,,1
30409,"90 Gallon Explosion-proof Cabinet YR05472 // YR05472-2 - YR05472",,Model,YR05472,,1
30410,"90 Gallon Explosion-proof Cabinet YR05472 // YR05472-2 - YR05472-1",,Model,YR05472-1,,1
30421,"416 Gallon Explosion-proof Cabinet YR05473 // YR05473-2 - YR05473",,Model,YR05473,,1
30422,"416 Gallon Explosion-proof Cabinet YR05473 // YR05473-2 - YR05473-1",,Model,YR05473-1,,1
30423,"416 Gallon Explosion-proof Cabinet YR05473 // YR05473-2 - YR05473-2",,Model,YR05473-2,,1
34669,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465 - YR05464",,Model,YR05464,,1
34670,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465 - YR05464-1",,Model,YR05464-1,,1
34671,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465 - YR05464-2",,Model,YR05464-2,,1
34672,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465 - YR05465",,Model,YR05465,,1
34673,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465 - YR05465-1",,Model,YR05465-1,,1
34674,"2-4 Gallon Explosion-proof Cabinet   YR05464 // YR05465 - YR05465-2",,Model,YR05465-2,,1
34677,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467 - YR05466-1",,Model,YR05466-1,,1
34678,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467 - YR05466-2",,Model,YR05466-2,,1
34679,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467 - YR05467",,Model,YR05467,,1
34680,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467 - YR05467-1",,Model,YR05467-1,,1
34681,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467 - YR05467-2",,Model,YR05467-2,,1
34676,"12 - 15 Gallon Explosion-proof Cabinet YR05466 // YR05467 - YR05466",,Model,YR05466,,1
